step,s,i,r
0,900,100,0
1,895,102,3
2,886,105,9
3,882,100,18
4,877,102,21
5,872,104,24
6,862,109,29
7,852,110,38
8,843,114,43
9,834,116,50
10,827,118,55
11,818,122,60
12,810,125,65
13,803,128,69
14,801,125,74
15,792,128,80
16,785,130,85
17,780,129,91
18,776,126,98
19,767,126,107
20,764,120,116
21,758,119,123
22,752,120,128
23,746,117,137
24,740,120,140
25,738,121,141
26,731,122,147
27,726,122,152
28,720,121,159
29,715,118,167
30,706,121,173
31,703,113,184
32,697,110,193
33,690,112,198
34,687,107,206
35,685,103,212
36,682,102,216
37,674,105,221
38,671,102,227
39,665,102,233
40,661,100,239
41,658,95,247
42,653,91,256
43,652,87,261
44,650,84,266
45,649,82,269
46,646,84,270
47,643,82,275
48,639,79,282
49,639,75,286
50,637,74,289
51,633,75,292
52,632,70,298
53,631,68,301
54,628,67,305
55,623,68,309
56,621,68,311
57,618,66,316
58,616,66,318
59,611,68,321
60,609,65,326
61,609,63,328
62,606,63,331
63,603,63,334
64,602,62,336
65,601,59,340
66,601,57,342
67,600,51,349
68,597,53,350
69,596,53,351
70,595,54,351
71,594,51,355
72,593,50,357
73,591,51,358
74,590,52,358
75,587,50,363
76,587,47,366
77,585,47,368
78,584,45,371
79,582,44,374
80,580,43,377
81,579,43,378
82,576,43,381
83,574,43,383
84,572,44,384
85,569,44,387
86,567,44,389
87,565,43,392
88,565,41,394
89,563,43,394
90,562,41,397
91,562,41,397
92,562,41,397
93,562,39,399
94,560,41,399
95,557,41,402
96,553,42,405
97,552,41,407
98,551,41,408
99,551,40,409
100,551,33,416
101,549,32,419
102,549,32,419
103,546,34,420
104,545,35,420
105,543,36,421
106,543,33,424
107,542,31,427
108,541,30,429
109,540,30,430
110,538,30,432
111,537,28,435
112,536,28,436
113,532,31,437
114,530,32,438
115,530,31,439
116,529,29,442
117,528,28,444
118,527,28,445
119,527,28,445
120,527,27,446
121,527,27,446
122,526,27,447
123,526,25,449
124,523,28,449
125,523,27,450
126,522,26,452
127,519,29,452
128,516,32,452
129,512,35,453
130,511,36,453
131,509,37,454
132,509,37,454
133,509,35,456
134,507,34,459
135,507,29,464
136,505,28,467
137,504,27,469
138,504,25,471
139,503,25,472
140,503,24,473
141,503,23,474
142,502,24,474
143,502,21,477
144,500,23,477
145,500,23,477
146,500,22,478
147,500,21,479
148,499,20,481
149,498,21,481
150,498,21,481
151,497,21,482
152,495,21,484
153,494,21,485
154,493,22,485
155,493,18,489
156,491,18,491
157,489,20,491
158,487,21,492
159,487,19,494
160,487,17,496
161,487,15,498
162,486,15,499
163,486,13,501
164,486,12,502
165,485,13,502
166,485,13,502
167,485,13,502
168,485,12,503
169,484,12,504
170,483,13,504
171,483,13,504
172,483,12,505
173,481,13,506
174,481,13,506
175,481,11,508
176,481,11,508
177,481,10,509
178,481,10,509
179,481,10,509
180,481,10,509
181,481,10,509
182,479,12,509
183,479,12,509
184,479,12,509
185,478,13,509
186,478,12,510
187,478,11,511
188,478,11,511
189,478,10,512
190,478,10,512
191,477,10,513
192,476,10,514
193,475,10,515
194,475,10,515
195,474,9,517
196,472,11,517
197,472,11,517
198,472,11,517
199,471,12,517
200,471,12,517
201,470,13,517
202,470,11,519
203,470,10,520
204,470,10,520
205,470,9,521
206,470,9,521
207,470,9,521
208,469,10,521
209,469,10,521
210,469,9,522
211,469,8,523
212,469,8,523
213,469,8,523
214,469,7,524
215,469,6,525
216,469,6,525
217,469,6,525
218,469,6,525
219,468,7,525
220,468,7,525
221,468,7,525
222,468,6,526
223,468,6,526
224,468,5,527
225,468,4,528
226,464,7,529
227,464,7,529
228,464,6,530
229,464,6,530
230,464,6,530
231,463,7,530
232,463,7,530
233,463,6,531
234,463,6,531
235,463,6,531
236,463,5,532
237,463,4,533
238,463,4,533
239,463,3,534
240,463,3,534
241,463,3,534
242,463,3,534
243,463,3,534
244,463,3,534
245,463,3,534
246,463,3,534
247,463,3,534
248,462,3,535
249,462,3,535
250,462,3,535
251,461,4,535
252,461,4,535
253,461,4,535
254,461,4,535
255,461,4,535
256,461,4,535
257,461,4,535
258,461,4,535
259,461,4,535
260,461,4,535
261,461,4,535
262,461,4,535
263,461,4,535
264,459,6,535
265,458,6,536
266,458,6,536
267,458,6,536
268,458,5,537
269,458,5,537
270,458,4,538
271,458,4,538
272,458,4,538
273,458,4,538
274,458,4,538
275,458,4,538
276,458,3,539
277,458,3,539
278,458,3,539
279,458,3,539
280,458,3,539
281,458,3,539
282,457,4,539
283,457,4,539
284,457,4,539
285,456,5,539
286,456,5,539
287,456,4,540
288,456,4,540
289,456,4,540
290,455,5,540
291,455,4,541
292,455,4,541
293,455,4,541
294,454,5,541
295,454,5,541
296,454,5,541
297,454,5,541
298,454,5,541
299,454,4,542
300,454,4,542
301,454,4,542
302,454,4,542
303,454,3,543
304,454,3,543
305,454,3,543
306,454,3,543
307,454,3,543
308,454,3,543
309,454,2,544
310,454,2,544
311,454,1,545
312,454,1,545
313,454,1,545
314,454,1,545
315,454,1,545
316,454,1,545
317,454,1,545
318,454,1,545
319,454,1,545
320,454,0,546
